Age,Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
59,male,105171,bachelor,6,skiing,1737,rural,105,164,spring,1,0,1
21,male,73615,bachelor,1,swimming,2766,urban,195,171,summer,1,1,0
46,non-binary,46301,master,9,hiking,2288,suburban,277,207,spring,1,1,0
35,non-binary,116651,doctorate,5,skiing,826,urban,26,66,fall,0,0,1
43,male,45329,bachelor,6,skiing,3518,urban,258,76,summer,1,1,0
61,male,110652,doctorate,5,hiking,2480,suburban,79,180,winter,1,1,1
51,male,26429,bachelor,0,hiking,2704,rural,283,216,fall,1,0,0
27,male,107701,doctorate,8,skiing,1759,suburban,38,132,summer,0,0,1
53,female,50032,high school,2,hiking,1939,suburban,77,69,spring,1,1,0
31,female,73556,high school,4,skiing,3985,suburban,242,90,spring,0,0,0
48,non-binary,46842,bachelor,7,sunbathing,3205,rural,117,105,spring,0,1,0
65,female,22837,doctorate,1,swimming,4769,urban,136,99,winter,0,1,0
32,male,106832,bachelor,3,swimming,2362,urban,298,258,fall,0,0,0
25,non-binary,27088,doctorate,4,hiking,1396,urban,192,151,summer,1,0,0
31,male,28582,bachelor,8,skiing,4858,rural,106,70,fall,1,0,0
40,female,71245,bachelor,1,skiing,4552,urban,261,205,spring,1,0,0
57,male,75306,master,5,hiking,1813,rural,109,210,spring,1,1,1
38,non-binary,22063,master,6,swimming,3175,urban,215,182,winter,1,0,0
33,female,27349,master,9,swimming,3477,rural,68,96,summer,0,0,0
62,non-binary,111832,master,1,sunbathing,2519,urban,54,115,fall,1,0,0
35,female,110659,master,9,swimming,780,urban,61,194,winter,0,0,0
64,male,53842,master,9,sunbathing,3358,urban,240,251,summer,0,1,0
41,non-binary,89781,doctorate,3,sunbathing,634,rural,20,162,summer,1,1,0
43,female,119815,master,3,hiking,2646,suburban,244,235,fall,1,0,0
42,female,98244,high school,5,swimming,3467,rural,254,96,summer,1,0,0
62,female,62242,bachelor,1,hiking,2180,urban,7,114,winter,0,0,1
58,female,60226,high school,8,hiking,1539,rural,284,201,spring,0,0,0
46,male,86160,master,4,hiking,1046,urban,232,281,summer,0,0,1
32,male,42309,doctorate,4,skiing,3959,rural,290,179,summer,0,1,0
62,female,43913,bachelor,6,sunbathing,2341,rural,185,102,fall,0,1,0
18,male,68694,master,5,skiing,2193,rural,171,4,summer,0,0,0
42,male,26568,bachelor,9,hiking,2748,rural,91,59,winter,0,1,0
24,female,40183,bachelor,3,swimming,1695,urban,283,187,spring,1,0,0
26,male,33173,high school,5,sunbathing,3653,suburban,190,48,summer,0,0,0
41,non-binary,110273,doctorate,1,sunbathing,3502,rural,271,284,spring,1,0,0
18,non-binary,101890,bachelor,8,swimming,3135,rural,123,254,spring,1,0,0
61,male,36906,doctorate,3,sunbathing,4740,urban,173,21,spring,0,0,0
25,female,45806,high school,6,sunbathing,4595,suburban,129,171,fall,0,1,0
41,non-binary,30509,master,8,swimming,1584,rural,33,157,winter,1,1,0
28,male,23052,high school,6,hiking,1975,urban,1,232,fall,0,1,1
68,male,60468,doctorate,2,skiing,3775,rural,167,130,summer,1,1,0
34,female,62395,master,1,skiing,4945,suburban,17,69,spring,0,0,1
25,female,60554,doctorate,5,sunbathing,610,suburban,56,52,fall,1,1,0
52,male,88709,bachelor,2,skiing,1547,urban,133,270,spring,1,1,1
52,female,52597,bachelor,5,sunbathing,892,urban,45,274,fall,1,1,0
50,non-binary,23068,doctorate,6,swimming,1458,urban,80,57,fall,0,1,0
22,non-binary,63579,bachelor,3,hiking,4052,rural,150,84,summer,0,0,0
59,male,20545,high school,4,sunbathing,4831,urban,19,198,fall,1,0,0
56,male,109152,doctorate,0,hiking,2217,suburban,170,17,spring,1,0,0
58,female,31478,master,0,sunbathing,1554,suburban,240,90,fall,0,0,0
45,non-binary,89599,doctorate,7,swimming,3119,suburban,286,200,winter,0,0,0
24,female,77091,master,5,hiking,1804,urban,68,79,winter,0,1,1
26,male,42888,doctorate,0,skiing,4518,suburban,156,249,winter,1,1,1
25,male,71946,doctorate,4,hiking,2511,suburban,76,25,fall,1,0,0
29,male,60005,doctorate,4,sunbathing,1015,rural,164,147,winter,1,0,0
51,male,116079,bachelor,7,sunbathing,3363,rural,69,57,summer,0,0,0
50,male,61993,doctorate,0,swimming,4317,urban,250,50,fall,1,0,0
65,male,85314,master,0,swimming,1186,urban,213,108,spring,0,0,0
40,female,24311,doctorate,0,swimming,1898,urban,1,151,fall,0,0,0
41,female,100062,bachelor,6,sunbathing,1096,rural,249,124,spring,0,0,0
54,female,109696,high school,3,skiing,1633,rural,222,280,fall,0,0,1
52,non-binary,67322,bachelor,6,hiking,3563,suburban,212,73,fall,1,1,0
61,female,119736,bachelor,9,swimming,3525,rural,259,198,winter,0,1,0
57,male,33692,master,4,hiking,523,urban,151,78,summer,1,1,0
39,female,54008,doctorate,6,sunbathing,2204,rural,52,231,summer,0,1,0
44,female,54591,high school,4,hiking,690,suburban,15,27,fall,1,0,1
52,non-binary,97929,high school,3,skiing,4067,urban,159,72,summer,0,1,0
18,male,72377,high school,6,swimming,3443,rural,20,60,summer,1,1,0
52,non-binary,96867,bachelor,5,hiking,2133,urban,223,47,winter,0,1,0
54,non-binary,39912,master,3,swimming,2779,urban,289,223,summer,0,0,0
64,non-binary,77242,high school,0,hiking,2005,suburban,263,220,winter,0,1,0
31,female,109800,bachelor,6,sunbathing,2341,rural,8,216,fall,0,1,0
20,male,111627,bachelor,7,hiking,1137,rural,43,239,spring,1,1,1
18,male,82041,master,4,sunbathing,3688,suburban,161,265,winter,0,0,0
22,non-binary,78378,bachelor,9,skiing,2993,urban,270,215,fall,0,0,0
43,male,79828,doctorate,8,hiking,1767,suburban,158,109,spring,1,0,0
31,male,46213,bachelor,7,skiing,4271,rural,74,237,winter,0,0,1
56,non-binary,80191,master,1,skiing,3153,rural,251,68,winter,1,1,0
44,female,59610,bachelor,6,skiing,3862,rural,287,197,summer,0,1,0
26,non-binary,98054,bachelor,7,hiking,1925,urban,248,201,winter,1,0,0
32,non-binary,67240,bachelor,3,skiing,3909,suburban,266,104,summer,0,0,0
32,female,74794,high school,0,sunbathing,1415,urban,26,1,summer,0,0,0
43,female,71600,doctorate,0,skiing,1120,urban,52,297,fall,1,0,1
59,female,114047,high school,4,skiing,1141,suburban,260,143,summer,0,0,0
30,female,55594,bachelor,7,hiking,1825,rural,191,203,summer,1,1,1
68,non-binary,90200,bachelor,3,skiing,1358,suburban,264,226,fall,0,1,0
49,female,37365,bachelor,0,skiing,3324,urban,5,230,spring,1,1,1
56,male,104017,master,2,hiking,1055,suburban,35,55,winter,0,1,1
66,non-binary,44569,doctorate,2,sunbathing,4418,urban,133,7,winter,1,0,0
69,non-binary,88432,high school,8,sunbathing,4305,rural,266,10,summer,1,1,0
49,female,55892,doctorate,3,hiking,771,suburban,95,265,winter,1,0,1
21,female,73848,bachelor,3,skiing,951,rural,210,76,spring,0,0,0
47,male,111899,master,3,hiking,2126,suburban,55,258,winter,1,0,1
54,female,110319,doctorate,4,hiking,858,urban,113,58,spring,0,1,0
40,non-binary,39168,master,6,swimming,2240,rural,10,237,fall,0,1,0
56,female,41953,doctorate,3,skiing,1267,suburban,45,184,spring,0,0,1
62,male,57034,bachelor,6,sunbathing,3044,suburban,25,276,fall,0,1,0
32,non-binary,35142,high school,4,skiing,2776,rural,275,285,summer,0,1,1
60,non-binary,74313,master,3,hiking,4741,urban,266,247,summer,0,0,0
46,female,61675,doctorate,7,swimming,757,rural,81,296,winter,1,1,0
53,male,72202,bachelor,7,sunbathing,4948,rural,52,180,spring,0,1,0
30,male,98753,bachelor,8,hiking,2550,urban,43,144,summer,1,0,1
49,female,102509,high school,3,hiking,1830,urban,85,111,summer,1,1,1
24,non-binary,55720,doctorate,3,swimming,2883,rural,260,53,fall,0,0,0
68,non-binary,45978,high school,6,hiking,3432,rural,234,62,fall,0,1,0
39,non-binary,79101,doctorate,5,swimming,4475,urban,165,190,summer,0,1,0
45,female,44060,bachelor,3,skiing,2747,rural,215,236,summer,1,1,1
19,non-binary,109995,master,1,skiing,3426,urban,143,100,spring,0,0,0
59,non-binary,22825,doctorate,1,skiing,1668,rural,235,92,summer,1,0,0
62,female,20215,high school,3,hiking,3828,suburban,153,253,summer,1,0,1
23,non-binary,31937,bachelor,5,skiing,1739,suburban,36,56,winter,0,0,1
45,female,20587,high school,5,hiking,3687,suburban,194,201,winter,1,0,1
45,male,22585,master,9,sunbathing,3295,rural,285,141,winter,1,1,0
61,male,87551,high school,5,sunbathing,3538,suburban,201,237,winter,0,1,0
61,female,82162,master,9,swimming,1726,urban,155,189,winter,0,0,0
37,female,118231,master,0,skiing,2863,suburban,49,285,fall,0,1,1
47,female,93527,bachelor,4,hiking,1730,rural,84,274,summer,0,1,1
28,non-binary,39413,bachelor,4,skiing,2091,urban,159,12,winter,1,1,0
45,non-binary,90703,master,9,hiking,4073,suburban,23,56,winter,0,0,1
42,female,22112,bachelor,6,skiing,2131,urban,87,242,summer,1,0,1
56,female,83980,master,7,sunbathing,964,rural,44,66,spring,1,0,0
50,non-binary,47366,bachelor,7,swimming,2881,rural,295,58,summer,0,1,0
18,non-binary,64532,master,8,swimming,1742,rural,6,168,winter,0,0,0
44,female,109460,master,6,swimming,3363,suburban,196,244,fall,1,0,0
69,non-binary,56587,bachelor,7,sunbathing,2178,urban,193,110,winter,1,1,0
30,non-binary,109854,doctorate,7,hiking,3066,rural,108,196,spring,0,0,1
58,male,95401,bachelor,3,swimming,4482,rural,295,158,spring,0,1,0
20,female,105122,bachelor,3,hiking,3667,suburban,161,278,winter,0,0,1
56,female,94267,high school,6,swimming,1295,rural,8,227,spring,1,1,0
23,non-binary,86900,bachelor,1,swimming,2659,rural,6,167,summer,1,0,0
25,male,74794,master,9,hiking,1348,rural,190,134,spring,0,0,0
44,female,66295,doctorate,6,sunbathing,853,rural,246,283,spring,1,1,0
26,female,61995,bachelor,8,swimming,741,suburban,37,149,fall,0,0,0
54,non-binary,84518,master,5,hiking,1667,suburban,80,167,summer,1,1,1
50,female,25801,bachelor,0,sunbathing,2323,suburban,123,38,spring,1,0,0
68,non-binary,39295,master,6,hiking,3463,suburban,265,287,fall,0,1,1
59,male,86364,master,1,sunbathing,1839,suburban,115,145,summer,1,1,0
61,male,55225,doctorate,6,swimming,4179,suburban,260,74,winter,1,1,0
41,female,63868,high school,8,skiing,2479,rural,182,159,summer,1,1,0
32,non-binary,78202,doctorate,2,sunbathing,4208,suburban,220,92,summer,1,0,0
49,male,55507,doctorate,4,swimming,3271,urban,240,268,spring,1,0,0
49,female,67561,high school,7,swimming,4218,suburban,206,182,fall,1,0,0
41,female,102819,master,1,hiking,2078,suburban,148,19,spring,1,0,0
58,female,58037,master,8,hiking,4913,urban,104,157,summer,0,0,1
69,non-binary,46889,master,8,skiing,772,rural,277,26,winter,0,1,0
66,non-binary,92579,bachelor,5,hiking,3671,rural,64,53,summer,0,0,0
66,male,110758,bachelor,2,hiking,797,suburban,84,261,spring,1,0,1
69,non-binary,75486,bachelor,7,sunbathing,3417,suburban,203,7,summer,0,0,0
29,non-binary,41745,doctorate,5,swimming,3780,suburban,47,162,fall,1,1,0
56,female,86754,master,3,hiking,1908,suburban,207,272,fall,0,0,1
19,female,61047,master,0,sunbathing,1304,suburban,290,295,fall,1,1,0
20,male,39822,bachelor,8,hiking,1305,rural,83,253,fall,1,1,1
66,female,99332,doctorate,7,swimming,1347,urban,98,243,summer,1,1,0
54,female,112061,doctorate,9,swimming,3810,rural,84,185,spring,1,0,0
66,female,69512,high school,7,swimming,1734,urban,208,227,winter,1,1,0
34,non-binary,69267,doctorate,1,sunbathing,2120,rural,243,18,spring,1,0,0
66,female,39887,high school,2,sunbathing,4211,rural,111,68,fall,1,1,0
19,male,51682,doctorate,3,skiing,3530,suburban,174,286,winter,0,0,1
19,male,82926,high school,1,hiking,4031,rural,68,216,winter,0,0,1
45,female,69631,doctorate,1,swimming,2738,urban,44,261,spring,0,1,0
40,female,39879,high school,7,skiing,3135,rural,224,262,fall,0,0,1
54,male,50449,high school,3,swimming,2329,rural,4,144,winter,1,1,0
49,non-binary,101279,doctorate,4,hiking,4592,suburban,268,44,spring,0,0,0
50,female,41717,high school,2,sunbathing,3557,urban,123,141,spring,1,0,0
18,male,45571,doctorate,0,sunbathing,4954,rural,60,116,summer,0,0,0
36,non-binary,40191,high school,4,sunbathing,2617,rural,67,165,spring,1,0,0
19,male,40154,high school,7,sunbathing,3367,urban,265,103,winter,0,0,0
61,non-binary,68964,bachelor,6,skiing,2775,urban,32,133,winter,1,0,1
43,male,78489,master,0,skiing,4063,suburban,49,191,winter,1,0,1
49,male,97736,bachelor,2,skiing,4929,suburban,147,173,winter,1,1,1
23,non-binary,83471,master,6,skiing,2400,suburban,122,178,spring,1,0,1
49,female,57571,doctorate,0,sunbathing,3142,rural,271,164,fall,1,0,0
21,male,57807,master,9,hiking,1349,rural,10,266,summer,0,1,1
28,female,88284,master,0,sunbathing,4229,urban,147,124,winter,1,1,0
34,male,96036,high school,6,hiking,3099,rural,138,3,spring,1,1,0
55,non-binary,85542,master,7,sunbathing,2970,rural,79,45,fall,0,0,0
41,female,71077,doctorate,4,swimming,2505,suburban,144,59,summer,1,1,0
22,non-binary,99794,doctorate,8,sunbathing,2543,suburban,97,143,winter,1,1,0
69,non-binary,36336,bachelor,7,swimming,2112,rural,215,269,summer,0,0,0
51,female,22075,master,7,swimming,563,urban,48,146,summer,1,0,0
23,female,90456,doctorate,4,sunbathing,3979,rural,110,7,fall,1,0,0
39,female,81861,doctorate,2,sunbathing,3624,urban,198,89,fall,0,1,0
28,non-binary,119026,bachelor,9,swimming,2842,rural,61,217,winter,0,0,0
65,non-binary,34896,bachelor,7,swimming,1303,urban,118,279,spring,1,0,0
33,non-binary,32779,bachelor,7,skiing,4021,rural,56,152,winter,0,1,1
50,female,38187,high school,1,swimming,2962,urban,287,232,summer,0,0,0
26,male,83148,high school,9,hiking,4100,suburban,148,187,winter,0,1,1
23,female,72581,high school,1,skiing,1876,rural,102,264,winter,0,1,1
33,male,96498,bachelor,6,sunbathing,555,rural,80,121,summer,0,0,0
46,non-binary,56320,doctorate,6,sunbathing,4482,urban,27,242,fall,0,0,0
20,male,48972,bachelor,0,hiking,3606,rural,78,99,fall,1,1,1
37,female,56228,bachelor,8,sunbathing,1331,suburban,161,200,summer,0,0,0
53,female,108994,doctorate,3,swimming,1390,urban,123,46,summer,0,0,0
36,female,57026,bachelor,8,hiking,4434,rural,267,284,fall,0,1,1
43,male,48526,bachelor,5,sunbathing,1817,urban,170,231,winter,1,1,0
20,female,90766,bachelor,5,sunbathing,4865,urban,205,172,fall,1,1,0
36,male,104638,bachelor,9,hiking,2659,urban,291,4,fall,0,1,0
37,non-binary,86805,high school,7,skiing,2403,rural,261,103,fall,0,1,0
49,male,42307,doctorate,7,sunbathing,2527,urban,273,159,summer,1,0,0
24,non-binary,28615,master,4,skiing,3445,rural,223,186,spring,1,1,0
69,male,108487,bachelor,7,skiing,2535,suburban,72,124,spring,0,0,1
58,non-binary,88284,high school,5,hiking,1644,rural,51,52,spring,1,1,1
50,female,60182,high school,0,skiing,2583,rural,268,161,winter,0,1,0
57,male,73969,doctorate,4,swimming,4006,urban,29,35,spring,1,0,0
56,non-binary,104699,doctorate,6,skiing,4811,suburban,176,206,winter,1,0,1
35,female,101676,bachelor,3,hiking,3436,suburban,275,14,summer,0,0,0
57,female,65469,high school,9,swimming,4275,suburban,6,84,fall,1,0,0
18,non-binary,36935,bachelor,9,swimming,2390,urban,261,71,fall,0,0,0
28,non-binary,102832,doctorate,7,swimming,2719,suburban,243,242,fall,0,1,0
45,male,114280,master,7,skiing,4930,rural,149,294,spring,0,0,1
42,non-binary,70534,high school,9,swimming,3579,rural,153,85,spring,0,1,0
67,non-binary,44981,high school,7,swimming,4333,suburban,43,182,winter,1,0,0
40,female,109655,master,7,sunbathing,4387,urban,76,235,spring,1,1,0
48,non-binary,108893,master,7,sunbathing,4977,rural,176,186,spring,1,0,0
47,non-binary,102574,master,7,skiing,1732,urban,189,191,summer,1,0,1
59,non-binary,62359,doctorate,2,skiing,3429,suburban,152,3,summer,0,1,0
52,female,103509,doctorate,0,sunbathing,4955,rural,98,232,summer,1,0,0
24,female,116911,high school,9,hiking,3853,urban,162,1,winter,0,1,0
33,female,29939,doctorate,0,swimming,2618,urban,262,236,spring,1,1,0
43,female,24056,master,7,hiking,2173,urban,146,82,winter,0,1,0
65,male,79111,doctorate,2,hiking,4808,urban,242,91,fall,0,1,0
69,female,81847,bachelor,6,swimming,4495,urban,288,97,summer,0,1,0
66,female,82031,bachelor,9,hiking,2818,rural,214,170,fall,0,1,0
19,male,113042,high school,3,skiing,1763,urban,7,98,fall,1,1,1
18,male,47343,bachelor,5,skiing,1784,rural,208,233,summer,1,1,1
65,male,85401,doctorate,6,skiing,3105,rural,242,10,spring,1,0,0
29,non-binary,58296,master,0,sunbathing,1985,urban,140,38,summer,0,1,0
22,female,33438,bachelor,0,sunbathing,4386,suburban,186,177,fall,1,0,0
54,non-binary,94669,doctorate,7,skiing,4522,suburban,266,230,winter,0,0,0
49,male,81295,master,6,sunbathing,509,suburban,287,2,summer,1,1,0
26,male,46496,high school,2,hiking,3378,rural,0,249,winter,0,1,1
58,male,47057,master,9,hiking,1593,urban,220,129,summer,1,0,0
52,male,49818,bachelor,7,sunbathing,714,urban,211,12,summer,1,0,0
36,non-binary,105169,master,9,sunbathing,2445,suburban,225,56,summer,0,0,0
65,male,77248,high school,2,swimming,1579,rural,149,252,winter,0,0,0
33,female,40208,master,1,sunbathing,4273,rural,258,73,fall,0,1,0
20,female,119443,doctorate,1,hiking,1093,rural,170,183,spring,1,1,1
37,female,88422,bachelor,6,swimming,4188,rural,29,58,fall,0,0,0
41,non-binary,38149,high school,2,skiing,1180,rural,265,78,spring,0,0,0
50,male,27835,bachelor,0,swimming,4291,suburban,164,111,winter,0,0,0
41,non-binary,29375,doctorate,5,hiking,3595,rural,154,113,spring,1,0,0
69,female,105511,bachelor,8,skiing,1067,suburban,259,264,summer,0,1,1
28,male,51531,bachelor,3,hiking,3702,rural,234,251,spring,1,1,1
66,non-binary,56959,master,8,hiking,3817,urban,51,113,spring,0,1,1
25,male,74395,bachelor,0,skiing,4777,urban,246,295,winter,0,0,1
53,male,115087,doctorate,2,sunbathing,2335,suburban,131,150,winter,1,0,0
55,non-binary,60642,doctorate,7,swimming,1190,rural,205,276,winter,1,0,0
57,female,72870,doctorate,7,skiing,781,rural,21,190,winter,0,0,1
37,non-binary,58021,high school,5,swimming,4747,rural,251,4,summer,1,1,0
52,non-binary,22524,high school,5,sunbathing,2474,rural,215,17,winter,1,0,0
65,female,87756,doctorate,5,skiing,4661,rural,149,98,winter,0,1,0
42,non-binary,66778,bachelor,9,skiing,4829,suburban,146,271,summer,0,0,1
52,male,110426,master,5,hiking,3127,suburban,126,58,fall,0,0,0
42,female,114040,master,2,skiing,2593,rural,52,98,summer,1,0,1
46,non-binary,91460,high school,1,sunbathing,1873,suburban,293,97,winter,1,0,0
35,male,41585,master,4,skiing,3917,suburban,80,260,summer,1,1,1
63,female,42467,doctorate,5,hiking,2634,suburban,45,219,fall,1,1,1
35,non-binary,75286,high school,2,sunbathing,2461,rural,252,157,fall,1,0,0
19,female,48224,bachelor,7,swimming,1656,urban,18,169,fall,1,1,0
52,male,117632,bachelor,6,swimming,1428,rural,108,255,fall,0,0,0
33,male,42427,master,3,skiing,501,urban,270,167,spring,1,1,0
58,female,25970,high school,0,sunbathing,1400,suburban,246,248,summer,1,1,0
53,male,88704,high school,7,hiking,1756,urban,231,161,summer,1,1,0
50,male,31022,high school,0,skiing,3307,urban,232,67,fall,1,0,0
21,female,107276,high school,4,skiing,4517,rural,219,106,spring,1,1,0
50,female,22390,master,4,hiking,4875,urban,146,118,winter,1,0,0
31,non-binary,79046,high school,6,hiking,3081,rural,175,260,fall,1,1,1
38,non-binary,118765,doctorate,1,sunbathing,4802,suburban,228,7,spring,0,0,0
65,female,104300,high school,4,sunbathing,2950,rural,104,50,summer,0,1,0
37,male,33287,high school,7,sunbathing,1888,suburban,251,214,spring,1,0,0
25,male,43835,high school,4,skiing,1098,urban,186,244,summer,0,0,1
24,female,109502,bachelor,9,swimming,2130,suburban,214,178,winter,0,1,0
20,female,41131,bachelor,4,hiking,1510,rural,250,123,winter,0,1,0
34,female,87852,high school,4,skiing,636,urban,85,36,fall,1,0,0
50,male,81954,doctorate,9,sunbathing,2729,urban,77,161,spring,0,0,0
65,non-binary,100446,bachelor,7,hiking,4025,suburban,21,58,summer,0,0,1
29,non-binary,35423,master,6,hiking,1346,urban,84,278,fall,0,0,1
68,male,109419,high school,3,skiing,3044,rural,134,153,winter,0,1,1
39,non-binary,52596,doctorate,7,skiing,4503,suburban,51,161,winter,1,1,1
39,female,72349,doctorate,2,swimming,4368,urban,136,70,spring,0,1,0
63,female,50529,master,9,hiking,3595,urban,178,217,fall,1,0,1
47,male,45951,master,5,skiing,2352,rural,35,244,spring,1,1,1
55,male,52712,doctorate,3,swimming,2400,urban,155,171,summer,1,1,0
55,female,60592,bachelor,1,sunbathing,2579,urban,232,177,winter,1,0,0
62,female,80536,bachelor,0,sunbathing,4735,suburban,58,201,spring,1,0,0
68,male,30295,doctorate,8,swimming,1706,suburban,265,293,summer,1,1,0
25,male,42641,bachelor,3,hiking,2380,suburban,296,28,winter,0,0,0
44,female,102642,high school,8,hiking,689,suburban,245,151,summer,1,1,0
44,female,104486,master,6,hiking,3154,rural,293,148,fall,1,0,0
51,non-binary,39363,master,0,swimming,4395,urban,113,281,summer,0,0,0
38,non-binary,43847,bachelor,9,hiking,2053,rural,220,8,spring,1,0,0
47,female,21193,bachelor,4,hiking,1698,urban,297,125,summer,0,0,0
50,male,40643,high school,5,sunbathing,910,urban,252,289,summer,1,1,0
45,non-binary,76176,high school,7,sunbathing,2423,rural,292,59,fall,0,0,0
64,non-binary,58694,doctorate,5,hiking,2259,suburban,144,213,spring,0,1,1
50,female,73112,bachelor,7,swimming,2627,rural,27,259,spring,1,1,0
